message_id,received_ts,channel,customer_id,subject_line,message_body,cta_type,brand_mimicked,reported_source,is_ai_like,label_is_phishing,model_phish_score
M5026,2025-11-21 05:14:53,sms,C1014,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,partner_feed,True,True,
M5027,2025-11-30 06:03:05,email,C1002,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5028,2025-11-27 12:49:59,email,C1019,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5029,2025-11-27 04:25:52,whatsapp,C1003,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,ShopHub,spam_trap,True,True,
M5030,2025-11-29 14:33:31,whatsapp,C1015,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5031,2025-11-30 06:04:21,whatsapp,C1019,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,ShopHub,spam_trap,True,True,
M5032,2025-11-23 13:27:04,sms,C1003,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5033,2025-11-24 15:25:25,sms,C1013,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,customer_report,True,True,
M5034,2025-11-25 09:53:04,email,C1024,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,False,True,
M5035,2025-11-26 23:04:44,whatsapp,C1005,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,spam_trap,True,True,
M5036,2025-11-26 19:23:11,email,C1011,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,spam_trap,True,True,
M5037,2025-11-29 02:00:32,email,C1017,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5038,2025-11-25 18:49:34,whatsapp,C1009,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5039,2025-11-25 18:40:06,whatsapp,C1004,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,spam_trap,False,True,
M5040,2025-11-27 20:56:35,whatsapp,C1005,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,partner_feed,False,True,
M5041,2025-11-25 17:48:38,sms,C1016,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,BankX,spam_trap,True,True,
M5042,2025-11-27 22:24:34,whatsapp,C1003,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,BankX,spam_trap,False,True,
M5043,2025-11-25 18:48:35,whatsapp,C1001,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,BankX,customer_report,True,True,
M5044,2025-11-30 19:18:57,whatsapp,C1017,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,customer_report,True,True,
M5045,2025-11-27 03:52:22,whatsapp,C1021,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5046,2025-11-30 13:30:57,whatsapp,C1012,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,BankX,customer_report,True,True,
M5047,2025-11-23 09:57:43,sms,C1023,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,BankX,customer_report,True,True,
M5048,2025-11-25 01:04:28,email,C1003,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,OtherBrand,customer_report,True,True,
M5049,2025-11-28 06:24:44,sms,C1020,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,False,True,
M5050,2025-11-26 09:25:18,sms,C1003,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,customer_report,True,True,
